,Molecular mass of acid,Molecular mass of amine,The boiling point of acid,The boiling point of amine,The melting point of acid,The melting point of amine,Acid flash point,Flash point of amine,The amount of nitrogen in the acid,The amount of nitrogen in the amine,The oxygen content of the acid,The amount of oxygen in the amine,The amount of hydrogen in the acid,The amount of hydrogen in the amine,The amount of carbon in the acid,The amount of carbon in the amine,Molar refractive index of acid,Molar refractive index of amine,Refractive index of acid,Refractive index of amine,The polarizability of acid,The polarizability of amine,The number of hydrogen bond donors for acid,The number of hydrogen bond donors for the amine,The number of hydrogen bond receptors for acid,The number of hydrogen bond receptors for the amine,The number of rotatable bonds of an acid,The number of rotatable bonds of an amine,The number of heavy atoms of an acid,The number of heavy atoms of an amine,Topological molecular polar surface area of acids,Topological molecular polar surface area of amines,Acid complexity,Amine complexity,The relative density of the acid,The relative density of amines,The relative vapor density of the acid,The relative vapor density of the amine,The vapor pressure of acid is 25¡æ,The vapor pressure of the amine is 25¡æ,The burning heat of acid,The burning heat of amine,The critical temperature of the acid,The critical temperature of the amine,Critical pressure of acid,The critical pressure of the amine,Octanol/water partition coefficient of acid,Octanol/water partition coefficient of amine,The PSA of acid  ,The PSA of Amine ,LogP of acid,LogP of an amine,Surface tension of acid,Surface tension of amine,Isotonic specific volume of acid,Isotonic specific volume of amine,Molar volume of acid,Molar volume of an amine,3-mercaptopropionic acid,Temperature,Time,Fluorescence intensity
107,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,260,40,8.1937
108,74.08,59.11,141,48,-22,-83,54,-37,0,1,2,0,6,9,3,3,17.51,19.48,1.3848,1.3885,6.94,7.72,1,1,2,1,1,1,5,4,37.3,26,40.2,7.2,0.99,0.719,2.56,2,4.2,329,-1525.8,-2363,339,233.8,4.53,4.74,0.26,0.15,37.3,26.02,0.25,1.0554,32.2,23.8,173.3,180.5,72.6,81.7,0.6,260,50,5.844665
109,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,30,7.988445
110,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,40,8.49666
111,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,220,50,5.189415
112,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,240,30,7.116345
113,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,240,40,8.01317
114,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,240,50,4.656128
115,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,260,30,3.8363445
116,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,260,40,4.073455
117,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.2,260,50,2.861492
118,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,220,30,9.078305
119,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,220,40,10.01684
120,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,220,50,5.7378455
121,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,240,30,7.834215
122,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,240,40,8.062105
123,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,240,50,5.705215
124,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,260,30,8.021485
125,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,260,40,8.21367
126,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.4,260,50,4.881415
127,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,220,30,10.329015
128,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,220,40,10.65996
129,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,220,50,7.427155
130,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,240,30,8.55508
131,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,240,40,8.741165
132,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,240,50,5.53101
133,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,260,30,7.56434
134,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,260,40,8.11772
135,74.08,73.14,117.9,163.5,-22,-50.5,54,-12,0,1,2,0,6,11,3,4,17.51,24.11,1.3848,1.406,6.94,9.56,1,1,2,1,1,2,5,5,37.3,26,40.2,13.1,0.99,0.74,2.56,2.52,4.2,97.3,-1525.8,-3018.4,339,251,4.53,4.16,0.26,0.97,37.3,26.02,0.25,0.93,32.2,25.3,173.3,220.3,72.6,98.2,0.6,260,50,4.56434
136,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,220,30,7.458775
137,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,220,40,8.02496
138,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,220,50,5.598165
139,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,240,30,7.16119
140,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,240,40,7.19609
141,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,240,50,4.3716245
142,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,260,30,6.144458
143,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,260,40,6.848693
144,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.2,260,50,3.5775645
145,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,220,30,7.752385
146,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,220,40,8.296705
147,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,220,50,5.201045
148,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,240,30,8.06083
149,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,240,40,8.31267
150,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,240,50,4.157475
151,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,260,30,6.90161
152,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,260,40,7.83856
153,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.4,260,50,3.515595
154,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,220,30,9.167495
155,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,220,40,9.475845
156,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,220,50,5.53945
157,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,240,30,8.142935
158,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,240,40,9.251505
159,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,240,50,4.730565
160,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,260,30,7.917465
161,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,260,40,7.92894
162,60.05,73.14,117.9,163.5,16.2,-50.5,39,-12,0,1,2,0,4,11,2,4,12.87,24.11,1.3719,1.406,5.1,9.56,1,1,2,1,0,2,4,5,37.3,26,31,13.1,1.05,0.74,2.07,2.52,13.9,97.3,-873.7,-3018.4,321.6,251,5.78,4.16,-0.3,0.97,37.3,26.02,-0.28,0.93,31.9,25.3,133.5,220.3,56.1,98.2,0.6,260,50,3.63639
